primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;205.93899364307754;;;;;0;27;27;27;;;;;;;361.5745637000073;None;363.51586450007744;363.8161706000101;364.9242125999881;364.94095570000354;366.9408875000663;None;None;0;366.9408875000663;None;;;;;;;;3;;;;;;;;368.4498642999679;None;None;None;[];368.4498642999679;None;"['7', '7']";"[0.25623270007781684, 0.8642658001044765]";368.4498642999679;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;140.0;150.0;145.4488529976734;;;;;0;28;28;28;;;;;;;370.4491562000476;None;371.8906371999765;372.19087699998636;373.3168481000466;373.3326853000326;376.3322984999977;None;None;0;376.3322984999977;None;;;;;;;;6;;;;;;;;377.8406610999955;None;None;None;[];377.8406610999955;None;['9'];[1.721449000062421];377.8406610999955;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;220.47504181707743;;;;;0;29;29;29;;;;;;;379.84063330001663;None;381.90695620002225;382.20724460005295;383.3327035000548;383.35719430004247;385.3319956000196;None;None;0;385.3319956000196;None;;;;;;;;5;;;;;;;;386.8403343000682;None;None;None;[];386.8403343000682;None;None;;386.8403343000682;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.9424691910033;;;;;0;30;30;30;;;;;;;388.8402401000494;None;390.35667480004486;390.6570216000546;391.7744719000766;391.791049499996;399.7483498000074;None;None;0;399.7483498000074;None;;;;;;;;3;;;;;;;;401.2649288000539;None;None;None;[];401.2649288000539;None;"['7', '7', '7']";"[0.3451806999510154, 0.5608420999487862, 1.0413186999503523]";401.2649288000539;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;182.0123397825363;;;;;0;31;31;31;;;;;;;403.27320419996977;None;405.0312265000539;405.33162880002055;406.43192430003546;406.4483508999692;408.4564417999936;None;None;0;408.4564417999936;None;;;;;;;;3;;;;;;;;409.9646606000606;None;None;None;[];409.9646606000606;None;"['7', '7']";"[0.3414797999430448, 0.7331445999443531]";409.9646606000606;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;140.0;150.0;145.41905773865074;;;;;0;32;32;32;;;;;;;411.9730442999862;None;413.4893253999762;413.78961189999245;414.91441550001036;414.9317589000566;429.39746690005995;None;None;0;429.39746690005995;None;;;;;;;;6;;;;;;;;430.9056772000622;None;None;None;[];430.9056772000622;None;['9'];[0.30436929990537465];430.9056772000622;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;163.9874412082805;;;;;0;33;33;33;;;;;;;432.905596000026;None;434.52207730000373;434.82242560002487;435.9301778000081;435.9471683000447;437.9471991000464;None;None;0;437.9471991000464;None;;;;;;;;6;;;;;;;;439.4554006999824;None;None;None;[];439.4554006999824;None;['9'];[0.7465378000633791];439.4554006999824;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;140.0;150.0;207.9053492649655;;;;;0;34;34;34;;;;;;;441.4636563999811;None;443.4052156000398;443.7053602000233;444.83918490004726;444.85559569997713;447.3301617000252;None;None;0;447.3301617000252;None;;;;;;;;8;;;;;;;;448.8384414999746;None;None;None;[];448.8384414999746;None;"['9', '9', '9']";"[0.2995155000826344, 0.5153240000363439, 0.7711963000474498]";448.8384414999746;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;218.0520785974414;;;;;0;35;35;35;;;;;;;450.8385255000321;None;452.87985330005176;453.18008870002814;454.2890156999929;454.30523379996885;456.3132761999732;None;None;0;456.3132761999732;None;;;;;;;;7;;;;;;;;457.82988470001146;None;None;None;[];457.82988470001146;None;"['9', '9']";"[0.8759219000348821, 1.1238865000195801]";457.82988470001146;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;192.53137802384992;;;;;0;36;36;36;;;;;;;459.8298598000547;None;461.6545939000789;461.9548940000823;463.05471559998114;463.071945099975;465.07966709998436;None;None;0;465.07966709998436;None;;;;;;;;4;;;;;;;;466.58793140004855;None;None;None;[];466.58793140004855;None;"['7', '7']";"[0.2781189000234008, 1.054081100039184]";466.58793140004855;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;140.0;150.0;159.76384515822056;;;;;0;37;37;37;;;;;;;468.59608669998124;None;470.1543434000341;470.4545535000507;471.5711135000456;471.5877160000382;476.16257569997106;None;None;0;476.16257569997106;None;;;;;;;;6;;;;;;;;477.6709917000262;None;None;None;[];477.6709917000262;None;"['9', '9', '7']";"[0.29906130000017583, 1.1068393000168726, 1.6828328999690711]";477.6709917000262;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;172.91738127163183;;;;;0;38;38;38;;;;;;;479.6791286000516;None;481.3706231000833;481.67101739998907;482.87895729998127;482.89572799997404;487.7956882000435;None;None;0;487.7956882000435;None;;;;;;;;4;;;;;;;;489.3122488000663;None;None;None;[];489.3122488000663;None;['7'];[1.0019993999740109];489.3122488000663;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;196.03539454983184;;;;;0;39;39;39;;;;;;;491.3121900999686;None;493.2036230000667;493.50373360002413;494.65367580007296;494.670409000013;496.6287139999913;None;None;0;496.6287139999913;None;;;;;;;;3;;;;;;;;498.1368915999774;None;None;None;[];498.1368915999774;None;"['7', '7']";"[0.5366827000398189, 0.7288639000616968]";498.1368915999774;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;139.87174075953956;;;;;0;40;40;40;;;;;;;500.14534300006926;None;501.5783216999844;501.8789487000322;503.0123420000309;503.028698900016;510.7615796000464;None;None;0;510.7615796000464;None;;;;;;;;5;;;;;;;;512.2699006000767;None;None;None;[];512.2699006000767;None;None;;512.2699006000767;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;163.89298117292617;;;;;0;41;41;41;;;;;;;514.2781834000489;None;515.8697072999785;516.1698532999726;517.3034653000068;517.3201528000645;520.4697146000108;None;None;0;520.4697146000108;None;;;;;;;;3;;;;;;;;521.9778517000377;None;None;None;[];521.9778517000377;None;"['7', '7']";"[0.384248899994418, 0.6557210999308154]";521.9778517000377;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;140.0;150.0;128.37211756912527;;;;;0;42;42;42;;;;;;;523.986141600064;None;525.3276686000172;525.627951500006;526.752671699971;526.76948430005;529.9860248999903;None;None;0;529.9860248999903;None;;;;;;;;5;;;;;;;;531.4942704000277;None;None;None;[];531.4942704000277;None;None;;531.4942704000277;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;163.19466748508617;;;;;0;43;43;43;;;;;;;533.5026479000226;None;535.0940207000822;535.3943310000468;536.4949462000513;536.5109588999767;538.5191309000365;None;None;0;538.5191309000365;None;;;;;;;;5;;;;;;;;540.0274214000674;None;None;None;[];540.0274214000674;None;None;;540.0274214000674;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;162.95060606286506;;;;;0;44;44;44;;;;;;;542.0357758000027;None;543.6771140000783;543.9774160999805;545.1279190999921;545.1441514000762;553.9023605000693;None;None;0;553.9023605000693;None;;;;;;;;3;;;;;;;;555.4185574000003;None;None;None;[];555.4185574000003;None;"['7', '7', '7']";"[0.4954106999794021, 0.8311599000589922, 1.8554451999953017]";555.4185574000003;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;121.98396994352893;;;;;0;45;45;45;;;;;;;557.4183563999832;None;558.6599825000158;558.9603309000377;560.0767384000355;560.0934173000278;562.0851531000808;None;None;0;562.0851531000808;None;;;;;;;;3;;;;;;;;563.5933137000538;None;None;None;[];563.5933137000538;None;"['7', '7']";"[0.2645112000172958, 1.0723465000046417]";563.5933137000538;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;195.60264978061832;;;;;0;46;46;46;;;;;;;565.593309000018;None;567.4516028000508;567.7517112999922;568.8521724999882;568.8689123999793;570.8764923000708;None;None;0;570.8764923000708;None;;;;;;;;7;;;;;;;;572.3847717000172;None;None;None;[];572.3847717000172;None;"['9', '9', '9', '9']";"[0.32884019997436553, 0.5609434000216424, 1.4891596999950707, 1.9288922999985516]";572.3847717000172;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;212.92407054126133;;;;;0;47;47;47;;;;;;;574.3929828000255;None;576.3929065000266;576.6929174000397;577.8346455000574;577.8511838000268;580.5178415999981;None;None;0;580.5178415999981;None;;;;;;;;7;;;;;;;;582.3094284000108;None;None;None;[];582.3094284000108;None;"['9', '9']";"[0.2843882000306621, 0.5562498000217602]";582.3094284000108;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;140.0;150.0;190.23859628619445;;;;;0;48;48;48;;;;;;;584.3178741000593;None;586.1425528000109;586.4427431999939;587.5506103000371;587.5675717999693;589.5009005999891;None;None;0;589.5009005999891;None;;;;;;;;7;;;;;;;;591.0091784000397;None;None;None;[];591.0091784000397;None;"['9', '9', '9']";"[0.552675399929285, 0.9126788999419659, 1.5683628999395296]";591.0091784000397;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;140.0;150.0;127.28107088671867;;;;;0;49;49;49;;;;;;;593.0174764000112;None;594.317273600027;594.6174591999734;595.7676075000782;595.7842916999944;599.4755770000629;None;None;0;599.4755770000629;None;;;;;;;;7;;;;;;;;600.9925715000136;None;None;None;[];600.9925715000136;None;"['9', '9', '9']";"[0.33724729996174574, 0.5769253999460489, 0.9535105000250041]";600.9925715000136;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;190.9434091532566;;;;;0;50;50;50;;;;;;;602.9839274999686;None;604.8510824000696;605.1504976999713;606.3259921000572;606.3677451000549;613.6753427999793;None;None;0;613.6753427999793;None;;;;;;;;5;;;;;;;;615.1918026000494;None;None;None;[];615.1918026000494;None;None;;615.1918026000494;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;178.10396226647933;;;;;0;51;51;51;;;;;;;617.19186120003;None;618.9082304000622;619.2084041000344;620.3249548000749;620.341659000027;622.3998498000437;None;None;0;622.3998498000437;None;;;;;;;;5;;;;;;;;623.9086772999726;None;None;None;[];623.9086772999726;None;None;;623.9086772999726;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;206.04367658109783;;;;;0;52;52;52;;;;;;;625.9170862999745;None;627.8580366000533;628.158331100014;629.2744209000375;629.291335200076;631.2829577000812;None;None;0;631.2829577000812;None;;;;;;;;3;;;;;;;;632.7912536000367;None;None;None;[];632.7912536000367;None;"['7', '7']";"[0.3626076999353245, 0.5463903999188915]";632.7912536000367;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;140.0;150.0;136.52220806776708;;;;;0;53;53;53;;;;;;;634.7913462000433;None;636.1743084000191;636.4746245000279;637.5916807000758;637.6079639000818;643.5326983999694;None;None;0;643.5326983999694;None;;;;;;;;7;;;;;;;;645.0408654999919;None;None;None;[];645.0408654999919;None;"['9', '9']";"[0.4329161000205204, 0.6248901999788359]";645.0408654999919;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;140.0;150.0;180.35091595488527;;;;;0;54;54;54;;;;;;;647.0408760000719;None;648.8239325999748;649.1241680000676;650.2490296000615;650.2656704999972;657.6988342000404;None;None;0;657.6988342000404;None;;;;;;;;5;;;;;;;;659.2404513000511;None;None;None;[];659.2404513000511;None;None;;659.2404513000511;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;204.27932588393085;;;;;0;55;55;55;;;;;;;661.2487605999922;None;663.1987555000233;663.4987764999969;664.6069105999777;664.6236348000821;666.6235145999817;None;None;0;666.6235145999817;None;;;;;;;;6;;;;;;;;668.1318723000586;None;None;None;[];668.1318723000586;None;['9'];[0.22185560001526028];668.1318723000586;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;192.40728800739942;;;;;0;56;56;56;;;;;;;670.1317810000619;None;671.9734046000522;672.2734794999706;673.4156267000362;673.4481937000528;679.3980922000483;None;None;0;679.3980922000483;None;;;;;;;;4;;;;;;;;680.9064180999994;None;None;None;[];680.9064180999994;None;"['7', '7']";"[0.33525030000600964, 0.8074622000567615]";680.9064180999994;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;219.6544115751568;;;;;0;57;57;57;;;;;;;682.906531500048;None;684.9812574000098;685.2815412000054;686.3976447000168;686.414595499984;688.4061977000674;None;None;0;688.4061977000674;None;;;;;;;;5;;;;;;;;689.914581399993;None;None;None;[];689.914581399993;None;None;;689.914581399993;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;140.0;150.0;237.98255695511958;;;;;0;58;58;58;;;;;;;691.9145097000292;None;694.1392256000545;694.4395427000709;695.597644399968;695.6149552999996;699.26436130004;None;None;0;699.26436130004;None;;;;;;;;7;;;;;;;;700.7808940999676;None;None;None;[];700.7808940999676;None;"['9', '9']";"[0.3089256000239402, 0.5248793000355363]";700.7808940999676;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;231.85538291836468;;;;;0;59;59;59;;;;;;;702.7807881999761;None;704.9473013000097;705.2475311000599;706.3565950000193;706.372761900071;708.3723248000024;None;None;0;708.3723248000024;None;;;;;;;;5;;;;;;;;709.8806087999837;None;None;None;[];709.8806087999837;None;None;;709.8806087999837;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;711.8889130000025;None;;;;;;
