primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;571.0333487000316;None;572.3831056999043;572.6997372999322;573.8248922999483;573.8415628999937;575.8331931999419;None;7;0;575.8331931999419;None;;;;;;;;3;;;;;;;1.1490789998788387;577.3913999998476;None;None;None;[];577.3913999998476;None;"['7', '7']";"[0.32687109988182783, 0.6947696998249739]";577.3913999998476;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;580.3912487998605;None;582.3827797998674;582.6994235999882;583.8246509998571;583.8412800999358;585.8494179998524;None;9;0;585.8494179998524;None;;;;;;;;6;;;;;;;1.1971508997958153;587.3993724000175;None;None;None;[];587.3993724000175;None;['9'];[0.542947200126946];587.3993724000175;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;590.399377600057;None;591.71594429994;592.0325694000348;593.2243080998305;593.2409440998454;599.0908659000415;None;9;0;599.0908659000415;None;;;;;;;;6;;;;;;;0.6513416999951005;600.6406994999852;None;None;None;[];600.6406994999852;None;['9'];[0.9017849999945611];600.6406994999852;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;603.6490741998423;None;604.9570949999616;605.2738999000285;606.3989562999923;606.4154850998893;608.4737795998808;None;9;0;608.4737795998808;None;;;;;;;;6;;;;;;;0.7244561000261456;610.0237362999469;None;None;None;[];610.0237362999469;None;['9'];[0.6707164000254124];610.0237362999469;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;613.0236356998794;None;615.0818347998429;615.3985087999608;616.5319314999506;616.5485332000535;618.5318195999134;None;None;0;618.5318195999134;None;;;;;;;;5;;;;;;;;620.131891899975;None;None;None;[];620.131891899975;None;"['9', '7']";"[0.058618800016120076, 1.4828107999637723]";620.131891899975;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;623.1317030999344;None;624.7315340999048;625.0482473999728;626.2316391998902;626.2481946998741;631.1814180999063;None;7;0;631.1814180999063;None;;;;;;;;3;;;;;;;0.6328603001311421;632.731539899949;None;None;None;[];632.731539899949;None;"['7', '7', '7']";"[0.2669206999707967, 0.6347982999868691, 1.09104899992235]";632.731539899949;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;635.7395601999015;None;637.6062783000525;637.9228036999702;639.1227543998975;639.1393919000402;645.0560749999713;None;7;0;645.0560749999713;None;;;;;;;;3;;;;;;;0.9101961001288146;646.6060194999445;None;None;None;[];646.6060194999445;None;"['7', '7']";"[0.2723330999724567, 0.5763014999683946]";646.6060194999445;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;649.6058930999134;None;651.2058875998482;651.5223204998765;652.7557564000599;652.7722705998458;655.8893515998498;None;9;0;655.8893515998498;None;;;;;;;;7;;;;;;;0.636996699962765;657.5805836999789;None;None;None;[];657.5805836999789;None;"['9', '9']";"[0.665828000055626, 1.0977647001855075]";657.5805836999789;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;660.5807036999613;None;662.1222081000451;662.4387244998943;663.5888181999326;663.6054457998835;672.3637009998783;None;7;0;672.3637009998783;None;;;;;;;;2;;;;;;;0.5147661999799311;673.9218399999663;None;None;None;[];673.9218399999663;None;"['7', '7', '7', '7', '7']";"[0.2845168998464942, 0.5724386998917907, 0.8524420999456197, 1.2448659997899085, 1.6205326998606324]";673.9218399999663;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;676.9217588000465;None;678.9632506999187;679.2799286998343;680.4048303000163;680.4215337999631;682.4132512998767;None;7;0;682.4132512998767;None;;;;;;;;4;;;;;;;1.2811362999491394;684.0215467999224;None;None;None;[];684.0215467999224;None;['7'];[0.7290443000383675];684.0215467999224;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;687.029862599913;None;689.05452409992;689.3712212999817;690.5380492999684;690.5546311999205;694.2049383998383;None;9;0;694.2049383998383;None;;;;;;;;6;;;;;;;0.9137114000041038;696.0960661999416;None;None;None;[];696.0960661999416;None;['9'];[0.4782567999791354];696.0960661999416;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;699.1044945998583;None;700.8208720998373;701.13766509993;702.2876551998779;702.304356199922;704.2710398000199;None;9;0;704.2710398000199;None;;;;;;;;5;;;;;;;0.8233558000065386;705.8208838000428;None;None;None;[];705.8208838000428;None;None;;705.8208838000428;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;708.845664100023;None;710.8206225999165;711.1373363998719;712.3623454999179;712.3790202999953;714.1957194998395;None;9;0;714.1957194998395;None;;;;;;;;6;;;;;;;0.9310882999561727;715.7622527999338;None;None;None;[];715.7622527999338;None;['9'];[0.6762609998695552];715.7622527999338;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;718.7704556998797;None;720.3370209999848;720.6536721000448;721.795322000049;721.837124099955;723.7869211998768;None;9;0;723.7869211998768;None;;;;;;;;6;;;;;;;0.7954070998821408;725.3368923000526;None;None;None;[];725.3368923000526;None;['9'];[0.3175686998292804];725.3368923000526;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;728.3453528999817;None;729.9701115000062;730.2867288000416;731.4621933999006;731.4867856998462;734.7450892999768;None;9;0;734.7450892999768;None;;;;;;;;6;;;;;;;1.1093205998186022;736.2949492000043;None;None;None;[];736.2949492000043;None;['9'];[0.5434871001634747];736.2949492000043;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;739.3033306999132;None;740.9947166000493;741.3113885000348;742.4446155999321;742.461453499971;744.4446949998382;None;7;0;744.4446949998382;None;;;;;;;;4;;;;;;;0.5697566999588162;745.9946659000125;None;None;None;[];745.9946659000125;None;['7'];[0.4198239000979811];745.9946659000125;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;749.0029430999421;None;750.3362171000335;750.6528197999578;751.827806700021;751.8448393999133;758.3860365999863;None;7;0;758.3860365999863;None;;;;;;;;2;;;;;;;0.6844190000556409;759.9359067999758;None;None;None;[];759.9359067999758;None;"['7', '7', '7', '7', '7', '7']";"[0.2464822002220899, 0.5105249001644552, 0.8066758001223207, 1.1346126000862569, 1.526512200012803, 1.9665625002235174]";759.9359067999758;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;762.9440365999471;None;764.6774075999856;764.9940956998616;766.1357458999846;766.1523567999247;768.1357678999193;None;8;0;768.1357678999193;None;;;;;;;;4;;;;;;;0.7986400998197496;769.6939507999923;None;None;None;[];769.6939507999923;None;['7'];[1.0248301001265645];769.6939507999923;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;772.6938604000024;None;774.5602633999661;774.8770474998746;776.0103092000354;776.0270760999992;778.0103815000039;None;9;0;778.0103815000039;None;;;;;;;;5;;;;;;;0.9081138998735696;779.7684384000022;None;None;None;[];779.7684384000022;None;None;;779.7684384000022;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;782.7934655998833;None;784.4766974998638;784.7934636999853;785.9184190998785;785.9350034999661;787.9267275000457;None;7;0;787.9267275000457;None;;;;;;;;2;;;;;;;0.911737099988386;789.4766969999764;None;None;None;[];789.4766969999764;None;"['7', '7', '7']";"[0.36174770002253354, 0.6179005999583751, 0.9059707000851631]";789.4766969999764;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;792.4849165999331;None;794.0432390000205;794.3597694998607;795.5182044999674;795.5349004999734;802.9345998999197;None;9;0;802.9345998999197;None;;;;;;;;7;;;;;;;0.41614310001023114;804.4845710999798;None;None;None;[];804.4845710999798;None;"['9', '9']";"[0.37788949999958277, 0.6822350001893938]";804.4845710999798;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;807.4846477999818;None;809.4675819999538;809.7844280998688;810.9344370998442;810.9510154000018;823.1256017999258;None;9;0;823.1256017999258;None;;;;;;;;5;;;;;;;0.9050358000677079;824.6756354998797;None;None;None;[];824.6756354998797;None;None;;824.6756354998797;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;827.692116299877;None;829.3253764999099;829.6421870000195;830.8087624998298;830.8257788999472;834.5003275999334;None;9;0;834.5003275999334;None;;;;;;;;6;;;;;;;1.0822512998711318;836.0502273000311;None;None;None;[];836.0502273000311;None;['9'];[0.4042265999596566];836.0502273000311;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;839.0502328998409;None;841.0334608999547;841.3500490000006;842.4914653999731;842.5084343999624;847.0250609000213;None;9;0;847.0250609000213;None;;;;;;;;5;;;;;;;0.6297228999901563;848.5832376000471;None;None;None;[];848.5832376000471;None;None;;848.5832376000471;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.02079367163634;s_s;;;;;0;51;51;51;;;;;;;851.5996721000411;None;853.0995565999765;853.4163742999081;854.6329756998457;854.6497463998385;862.5082109998912;None;7;0;862.5082109998912;None;;;;;;;;4;;;;;;;0.6823903999757022;864.2744089998305;None;None;None;[];864.2744089998305;None;['7'];[0.26804579980671406];864.2744089998305;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;120.0;150.0;210.98946429383824;h_h;;;;;0;52;52;52;;;;;;;867.274394299835;None;869.3075600999873;869.6242623999715;870.8492786998395;870.8659041000064;883.5655978999566;None;9;0;883.5655978999566;None;;;;;;;;5;;;;;;;0.9132213001139462;885.12377559999;None;None;None;[];885.12377559999;None;None;;885.12377559999;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;172.57202848318138;s_h;;;;;0;53;53;53;;;;;;;888.1487483000383;None;889.798511599889;890.1152919998858;891.2901053000242;891.3068228999618;894.7985852998681;None;9;0;894.7985852998681;None;;;;;;;;6;;;;;;;0.9760357001796365;896.3484575999901;None;None;None;[];896.3484575999901;None;['9'];[0.5220654001459479];896.3484575999901;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;181.3003220572762;s_h;;;;;0;54;54;54;;;;;;;899.3484671998303;None;901.1233872000594;901.4398461000528;902.6066310000606;902.6230666998308;909.9647677999455;None;9;0;909.9647677999455;None;;;;;;;;6;;;;;;;0.4737713998183608;911.5147067999933;None;None;None;[];911.5147067999933;None;['9'];[0.27594359987415373];911.5147067999933;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;198.86251500867985;h_s;;;;;0;55;55;55;;;;;;;914.523024499882;None;916.3894533999264;916.7062391999643;917.8394740999211;917.8565167998895;919.8395449998789;None;7;0;919.8395449998789;None;;;;;;;;3;;;;;;;0.9434388000518084;921.6477002999745;None;None;None;[];921.6477002999745;None;"['7', '7']";"[1.222976799821481, 1.7031895997934043]";921.6477002999745;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;206.10005857915363;h_s;;;;;0;56;56;56;;;;;;;924.656013000058;None;926.5974425000604;926.9141687999945;928.0473460999783;928.064188499935;930.0474050999619;None;7;0;930.0474050999619;None;;;;;;;;4;;;;;;;0.6875392000656575;931.5890505998395;None;None;None;[];931.5890505998395;None;['7'];[0.3136849000584334];931.5890505998395;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;206.16642757875042;s_s;;;;;0;57;57;57;;;;;;;934.5889520999044;None;936.5304346999619;936.8471941000316;938.0220669999253;938.0389111000113;943.7055383999832;None;7;0;943.7055383999832;None;;;;;;;;2;;;;;;;0.38117499998770654;945.2553486998659;None;None;None;[];945.2553486998659;None;"['7', '7', '7', '7']";"[0.25529600004665554, 0.5112232998944819, 0.7751704999245703, 1.0874022000934929]";945.2553486998659;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;120.0;150.0;132.59080005900228;h_h;;;;;0;58;58;58;;;;;;;948.2552560998593;None;949.6135203000158;949.9301704999525;951.096621699864;951.1134806999471;958.6799101999495;None;9;0;958.6799101999495;None;;;;;;;;8;;;;;;;0.6309179000090808;960.3130044999998;None;None;None;[];960.3130044999998;None;"['9', '9', '9', '9']";"[0.34975040005519986, 0.7176968001294881, 1.0538799001369625, 1.413688400061801]";960.3130044999998;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;163.39234110935848;s_h;;;;;0;59;59;59;;;;;;;963.3132414999418;None;964.8963419999927;965.2129228999838;966.4128651998471;966.4298568998929;971.3712708000094;None;9;0;971.3712708000094;None;;;;;;;;7;;;;;;;0.6753994000609964;972.9211746000219;None;None;None;[];972.9211746000219;None;"['9', '9']";"[0.3975156999658793, 0.7577440000604838]";972.9211746000219;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;975.9210715999361;None;;;;;;
